pi,country,region,score.prc,score.temp,score
IS22019,India,South Asia,0.166666667,0.181818182,0.348484848
IS22025,Jammu-Kashmir,South Asia,0,0.090909091,0.090909091
IS22026,India,South Asia,0,0,0
IS22040,India,South Asia,0,0,0
IS2205,India,South Asia,0,0,0
IS2206,India,South Asia,0,0,0
IS22074,India,South Asia,0,0,0
IS22100,India,South Asia,0,0,0
IS22104,India,South Asia,0,0,0
IS22193,India,South Asia,0,0,0
IS22239,Botswana,South Africa,0,0,0
IS22282,Botswana,South Africa,0,0,0
IS22287,Botswana,South Africa,0,0,0
IS22291,Botswana,South Africa,0,0,0
IS22294,Botswana,South Africa,0,0,0
IS22325,Botswana,South Africa,0,0,0
IS22330,Botswana,South Africa,0,0,0
IS22334,Botswana,South Africa,0,0,0
IS22598,Sri Lanka,South Asia,0,0,0
IS22601,Sri Lanka,South Asia,0,0,0
IS22604,Sri Lanka,South Asia,0.666666667,0.090909091,0.757575758
IS22608,Sri Lanka,South Asia,0.333333333,0.090909091,0.424242424
IS22609,Sri Lanka,South Asia,0.5,0.272727273,0.772727273
IS22615,Myanmar,South Asia,0,0,0
IS22616,Myanmar,South Asia,0,0.090909091,0.090909091
IS22618,Myanmar,South Asia,0,0,0
IS2262,Sudan,East Africa,0,0,0
IS22701,Somalia,East Africa,0,0.454545455,0.454545455
IS22702,Somalia,East Africa,0,0.181818182,0.181818182
IS22720,Somalia,East Africa,0,0.454545455,0.454545455
IS22742,Somalia,East Africa,0,0.181818182,0.181818182
IS22746,Somalia,East Africa,0,0.363636364,0.363636364
IS22751,Somalia,East Africa,0,0.272727273,0.272727273
IS22785,Somalia,East Africa,0,0.181818182,0.181818182
IS22789,Somalia,East Africa,0,0.090909091,0.090909091
IS22792,Somalia,East Africa,0,0.454545455,0.454545455
IS22799,Somalia,East Africa,0,0.636363636,0.636363636
IS22909,Sudan,East Africa,0,0,0
IS22986,Sudan,East Africa,0,0.545454545,0.545454545
IS22996,Sudan,East Africa,0,0,0
IS23033,Sudan,East Africa,0,0,0
IS23048,Sudan,East Africa,0,0,0
IS23053,Sudan,East Africa,0,0,0
IS23100,United Republic of Tanzania,East Africa,0,0,0
