"","pet_min","AridityIndex","max_heat_index","ann_heat_index","coldindex.mean","coldindex.min"
"IS22291.70MUKAAXX.2.250006026",-18.6476273178568,-236.006625592296,-1.47335479047092,-0.924276872393319,0.195831396592636,0.201632354260519
"IS22325.70MUKAAXX.2.250006036",-11.0039333866756,-574.622404915045,-1.29695875439443,-0.838807775815667,0.153541386937861,0.190877787395816
"IS22330.628NVAAXX.5.250006909",-42.9888780377177,-1097.4579679969,-4.86179392587575,-4.09899696171441,0.620592822908627,0.732154728639645
"IS22334.628NVAAXX.5.250006933",-46.8431774718431,-1059.67223092901,-4.79428081673635,-4.2259589759425,0.664754427069171,0.78458931298989
"IS2262.628P7AAXX.7.250007041",6.68602839381429,-1236.12815455069,2.70865691099545,0.726943685664815,0.0469156132364387,0.128035216895147
"IS22909.70MUKAAXX.2.250006094",4.76161456920208,-1602.00247861488,2.26957859646667,0.504440082384794,0.0742735118133015,0.193534174648041
"IS22996.70MUKAAXX.2.250006016",11.4952511368737,-643.452495598628,2.15733821814318,0.587383378836189,0.0116619765282496,0.0569380715746329
"IS23033.D0D0HACXX.5.250046087",-6.74192188722176,-1856.89708889077,0.671897273324123,-0.447492562068651,0.189263425287539,0.220201253000549
"IS23048.70MUKAAXX.2.250006027",11.8066635002661,-1334.71465929881,2.29483546632469,0.788033332756193,-0.00686817458618979,0.0783805110546889
"IS23053.70MUKAAXX.2.250006037",1.96324326391367,-1223.42921420085,1.13213645755195,0.15483602995871,0.0897402108924466,0.169744126322983
"IS23100.628NVAAXX.5.250006957",-2.87373517502067,286.738770905852,-1.26467060814863,-0.780957899560158,0.109654750881527,0.106323292198776
"IS23142.628NVAAXX.5.250006981",-9.60528921411591,664.003295775458,-2.76028303127802,-1.3633884077,0.158915791020374,0.130924642037896
"IS23166.B064FABXX.1.250010004",-7.58929321126176,-130.694701680914,-1.75176795515287,-1.29399557534248,0.185831735198319,0.214608479833072
"IS23178.628P7AAXX.7.250007037",-7.50361851074675,-460.857547300519,-1.93085885486238,-1.19535740175111,0.165146195106232,0.18241901775477
"IS23574.70MUKAAXX.2.250006059",16.7679656921926,-482.46781717027,2.11809035051181,0.771578978656344,-0.0392544669690367,-0.011422613961608
"IS23601.70MUKAAXX.2.250006071",22.1921203928729,-328.518043724122,2.52408725848679,1.12484833771806,-0.102976539782161,-0.0884072397578171
"IS23645.628P7AAXX.7.250007085",16.4911837830174,651.09766891023,2.25557322280404,1.57229448829544,-0.143300331710214,-0.0448180952036015
"IS23666.628P7AAXX.7.250007109",15.2189595118246,1038.43793631924,2.25605705171116,1.63514068563658,-0.147155461148418,-0.0616810145555361
"IS23669.628NVAAXX.5.250006911",13.4090499082023,1276.16589259142,1.77201662592234,1.45599266924008,-0.136148667621177,-0.0589632204138683
"IS2367.70MUKAAXX.1.250006437",-11.2878250766087,-670.289224332302,-1.11343941613593,-1.34760285694131,0.245162555118693,0.264893232442179
"IS2416.70MUKAAXX.1.250006449",-25.4755000511131,-1170.21182691076,-2.35454226545677,-1.72216345097364,0.313144145733129,0.41640463313569
"IS2430.70MUKAAXX.1.250006461",10.451965327705,2262.13687439303,1.00701183926666,1.12109295686664,-0.104793561457797,-0.0399693387423262
"IS24713.B064FABXX.1.250009985",6.8985878693859,-1272.04199331447,1.50418658054699,0.457917509511928,0.0174366501459311,0.0963415836709216
"IS24775.D0D0HACXX.5.250046090",13.2170323954779,-878.795940678594,2.63190992644672,1.48241565508597,-0.111354473978989,-0.00407540466026268
"IS24786.B064FABXX.1.250009997",10.0965756761682,-1790.51456436831,1.77835250291077,0.474389182312931,0.00536936364853597,0.106776469441285
"IS25055.B064FABXX.1.250009954",10.9473356153658,-366.969189404435,2.61018530484965,1.47531264131246,-0.110720833517569,0.00708537680454726
"IS25733.B064FABXX.1.250009950",15.8180224057902,-803.302198874697,1.29969081800911,0.937040083711514,-0.0731516966753049,0.0167161634952794
"IS25848.D0D0HACXX.5.250046091",15.9524940501401,-847.04440923527,2.19558289552149,1.44688880089597,-0.118182233921144,-0.0126361417091855
"IS26110.B064FABXX.1.250010016",13.2854981407219,-597.914368268517,2.58375556851227,1.57272115627704,-0.125607620106103,-0.00297292402237546
"IS26198.D0D0HACXX.5.250046092",21.8302135279843,-1101.96509391343,3.25386461847565,2.03871589168706,-0.159059734070479,-0.0397787510450282
"IS26224.D0D0HACXX.5.250046093",9.66922847649714,-527.523248689705,2.55274399140566,1.43234867273634,-0.0951364955467235,0.00372366764763462
"IS27146.70MUKAAXX.1.250006389",-39.4999379460083,-1170.03944641341,-4.5437518141505,-3.83447876184826,0.582954272961182,0.67775337350501
"IS27164.70MUKAAXX.1.250006426",-46.1258798564538,-1390.44483771636,-4.5814784221391,-4.15596775969204,0.664323330058452,0.781923128733251
